alpha,beta,WER,CER,time_sec
0.01,0.0,11.146418968467367,3.7885761348771863,105.48902726173401
0.01,0.5,11.121975067220728,3.774041955331622,108.32198214530945
0.01,1.0,11.09753116597409,3.769197228816433,103.52590465545654
0.01,1.5,11.09753116597409,3.769197228816433,106.65545678138733
0.05,0.0,11.146418968467367,3.7885761348771863,109.6813395023346
0.05,0.5,11.121975067220728,3.774041955331622,105.79546165466309
0.05,1.0,11.09753116597409,3.769197228816433,103.22517418861389
0.05,1.5,11.09753116597409,3.769197228816433,103.92868065834045
0.1,0.0,11.146418968467367,3.7885761348771863,102.67595672607422
0.1,0.5,11.09753116597409,3.774041955331622,104.26193332672119
0.1,1.0,11.09753116597409,3.769197228816433,102.06405973434448
0.1,1.5,11.09753116597409,3.769197228816433,100.66382336616516
0.5,0.0,11.219750672207285,3.798265587907563,100.98738193511963
0.5,0.5,11.146418968467367,3.7885761348771863,100.188556432724
0.5,1.0,11.146418968467367,3.7837314083619984,98.70873284339905
0.5,1.5,11.09753116597409,3.769197228816433,100.58383440971375
1.0,0.0,11.464189684673673,3.8273339469986922,99.81490802764893
1.0,0.5,11.2930823759472,3.807955040937939,104.45784139633179
1.0,1.0,11.146418968467367,3.7885761348771863,102.80156564712524
1.0,1.5,11.146418968467367,3.7885761348771863,105.03000545501709
2.0,0.0,11.586409190906869,3.8418681265442567,99.12858366966248
2.0,0.5,11.561965289660229,3.837023400029068,99.96777987480164
2.0,1.0,11.513077487166951,3.83217867351388,100.56714344024658
2.0,1.5,11.464189684673673,3.8273339469986922,101.91094827651978
5.0,0.0,11.78196040087998,3.8612470326050095,102.7155978679657
5.0,0.5,11.78196040087998,3.8612470326050095,102.79740285873413
5.0,1.0,11.78196040087998,3.8612470326050095,103.49131155014038
5.0,1.5,11.78196040087998,3.8612470326050095,105.25745344161987
