Method,Earnings22 WER,Earnings22 CER,time_sec
Greedy,54.96987951807228,25.578503460207614,81.79819679260254
Beam search,54.93975903614457,25.38386678200692,138.11811065673828
Beam + 10-gram (sf),55.57228915662651,25.481185121107263,201.70791959762573
Beam + 10-gram (rescoring),55.21084337349398,25.37846020761246,118.31392335891724
